,id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
222,3RSBJ6YZECOIHQAAOXWIBFRZMKCFOW##3SB4CE2TJWTD1S5O4B3O5B3PG80XA4##A394JO4NEPCY3M##Blog_1136435##q1_a2##3X52SWXE0ZJYDCY98F9RC17QLA8WCH,"I was looking for a store that was open , besides Wal - Mart , to get my WIC around midnight . Tony and I had just come back from the dock but I decided to hurry up and get the formula since he was acting like a dumbass . He brought out a bad side of me .",What is probably true about the narrator ?,They wanted to go to walmart,They did not want to go to wal mart,None of the above choices .,They do not have children,1,0,[-2.79  -3.752 -4.344 -3.46 ],3,[-30.868572 -25.65244  -26.904419 -19.464523]
231,3SMIWMMK63JUZ6F9U6UR67TWSACWUO##38JBBYETQRP4OSXXK2F5WHKRERB4EY##A1OPGPTQJ48XOY##Blog_753462##q1_a1##3D5G8J4N5CI2K40F4RZLF9OG2RRTVG,"I thought I would have to be top seed in that group by being 1750 or so . Discounting Randy as the favorite , any of the rest of us can easily win , making for a potentially really exciting event . Jesse said he is the highest rated player never to win a div 1 ... Jesse here is your chance ! Shelton is yours !",Why has Jesse never won a division 1 despite his high ranking ?,He tends to be very skilled but just not as good as some of the others in division 1,He thinks that he is better than he actually is,he tends to inflate his own scores and is not as good as his ranking suggests,He cheats a lot of the time and one can not cheat in these competitions so he struggles,0,2,[4.594 4.38  5.05  0.27 ],1,[-17.792305 -16.970903 -18.656939 -28.40763 ]
233,3CVDZS288HYUHNPYBHH5JB2UR4IFM6##3GLB5JMZFYT0DDDAZBUM7QB0WH1GDN##A1OPGPTQJ48XOY##Blog_317730##q1_a1##36GJS3V78X4PO4EF32MVD2YXHYUGJ3,"This is spring weather as I remember it . This is my birthday weather . I have no pants on and Roisin has a pretty spring top on . Oh , she has pants . I spent my birthday relaxing on the couch , then I went upstairs to watch the Swans game in bed and slept 13 hours , approximately . The Swans obviously did n't get the memo .",What did you think of the Swan 's game that you watched ?,It was excellent watching them upstairs and celebrating their win,I found it boring and it caused me to fall asleep,I thought it was riveting and it kept me awake throughout,I thought they played well and I was happy because it was my birthday,1,2,[-0.9336 -1.535   3.91    1.338 ],3,[-27.928492 -26.584696 -22.298767 -18.840687]
238,33J5JKFMK8C5GF643DZKR9LARN43QU##3IUZPWIU1RMJJU8RQUWRP4GNH6GKW7##A2LTOS0AZ3B28A##Blog_276626##q2_a1##30U1YOGZGCAFBNNEO6U1ZIMN0Y8DS5,"Mitch , you are a shit head . I hope Richelle has some sense somehow to know that he s bad news and does nt try and persue anything . Mitch has no will power when it comes to these things he seems to "" fall in love "" quickly and easily and for very short periods of time .",What will happen after Mitch gets Richelle ?,Richelle will love him for a short time .,He will not be in love with her at all .,None of the above choices .,He will fall in love with her easily .,3,1,[-5.348 -1.027 -2.824 -2.975],0,[-19.850842 -20.412191 -25.978756 -21.438103]
241,33J5JKFMK8C5GF643DZKR9LARN43QU##3IUZPWIU1RMJJU8RQUWRP4GNH6GKW7##A2LTOS0AZ3B28A##Blog_276626##q2_a1##3VGZ74AYTIU2GQ89TA59QYL2RN2GCO,"Mitch , you are a shit head . I hope Richelle has some sense somehow to know that he s bad news and does nt try and persue anything . Mitch has no will power when it comes to these things he seems to "" fall in love "" quickly and easily and for very short periods of time .",What will happen after Mitch gets Richelle ?,He will dump Richelle after a short period of time .,None of the above choices .,Richelle will love him for a short time .,He will not be in love with her at all .,0,3,[-2.492 -2.824 -5.348 -1.027],2,[-20.900368 -25.978756 -19.850842 -20.412191]
242,306W7JMRYYWPJHBECELQV3AES128BU##39LNWE0K4VU0Q6URBUKE22S4XUOIUR##A1OPGPTQJ48XOY##Blog_1213476##q1_a1##3VIVIU06FMQTL3QVWNZQE63U05HIM1,"Jingaling , How you tingaling , Keeper of the Keys "" ) , which the master plumber said was obscene . We arrove home drunk . On Saturday , my neighbor ACE threw himself a birthday party . In the morning , I had to clean my outdoor shower because I 'd agreed to let his guests use it .",How do you feel about the fact that you agreed to let his guests use your shower ?,I am okay with them using the shower but annoyed that I had to clean it myself,I think that they were forward and unfair to ask to use the shower but I could not really politely say no,I am happy to clean the shower myself because he is a good friend,None of the above choices .,0,1,[-0.583  1.269 -4.81  -3.254],1,[-23.839962 -19.006226 -25.457094 -26.056406]
246,3GS542CVJX122VCM0UCRKBT5VFI95N##3300DTYQT5WBDXKVIZMIZKLW9SFQE5##A33PQXKQHFVF3V##Blog_1120978##q1_a1##3BAKUKE49JQ9ID7PTOA186GIPZCR1V,"Now that I ' ve caught up on sleep , I am no longer second guessing my own ability to do well . Which I was most definitely doing last night . I think it 's a very good thing I decided not to take calculus . I ' m already better at the alphabet , without even practicing anymore .",Why was it a good idea that I decided to not take calculus ?,I am just not good at math so it was better I did n't take it .,I 'm so good at English that I wo n't need math at all .,It would have added to my already heavy workload .,"I would have to practice at it and I""m no good at practicing .",2,0,[1.878 0.255 1.586 1.852],1,[-21.90504  -16.765564 -19.279985 -21.587723]
265,3S4TINXCC0LS49YUJVAMSP0E7D3BOB##3YJ6NA41JCEJTC61CQ6K4XK53Y3JP3##AJ7NSZOAFP05U##Blog_1101977##q1_a2##3IZVJEBJ6CYDRQUD9BGVP59Y6OFZ6S,"The other dog i guess is still in the house and sleeping . My first day at "" work "" ( since they do n't pay me ) was pretty easy . They had a staircase that leads right into the water .",What may happen at your first day of work ?,It would be a cake walk .,None of the above choices .,It would n't be a cake walk .,I would get paid .,0,3,[-5.52  -3.748 -5.37  -3.367],2,[-28.040087 -25.675442 -24.731499 -27.027885]
269,3RDTX9JRTYZ2VARY4PFOQXJTTHT79W##3KB8R4ZV1F57YGFQLF3GC0N0TYXBGN##A394JO4NEPCY3M##Blog_265061##q1_a1##3XQ4XW3ODBQS8DPYRHAK3ZVJ3Y22SM,"I have gotten WAY behind in my blogging , but I had to post this before I conked out . The 27th annual Studio -A -Rama was yesterday . From 2:00 pm to midnightish , we had band after band after band play for us while we simulcast their performances over the air and on the web . I ' m home after about two and one half hours of cleaning up . I ' m sore , I ' m tired and I smell of sweat and beer .",What likely happened after this event ?,The narrator simulcast the performances,The narrator spent two and a half hours cleaning up,The narrator went to bed,The narrator wrote a blog post,2,3,[ 1.369 -4.68   1.494  1.703],3,[-23.071651 -23.990303 -19.958986 -15.283057]
270,3ZQA3IO31D56L0F91WTXEBBDE0N1O3##36WLNQG782PO9RI6ZHPS4VQXN18BEQ##A394JO4NEPCY3M##Blog_372881##q1_a2##3D0LPO3EADD3B6QCDL06SYMNLX7YOX,"The journey turned out to be hellish , you can not dam well sleep , I mean they are comfortable trains , but neither of us got a wink . The train was slow and ambling , been mostly single track , freight trains kept causing delay , so much so that we were 2 hours late when we arrived in Montreal , missing our connection . No fuss or problems though , we simply got the next train for Toronto .",What might be true if the freight trains did n't cause a delay ?,They would have slept well,None of the above choices .,They would n't have missed their connection,They would have missed their connection,2,3,[-3.389 -2.33  -1.439 -1.285],0,[-11.792196 -23.428993 -16.051458 -19.83499 ]
271,3ZQA3IO31D56L0F91WTXEBBDE0N1O3##36WLNQG782PO9RI6ZHPS4VQXN18BEQ##A394JO4NEPCY3M##Blog_372881##q1_a1##34D9ZRXCYT8HDGK24W3Z9HEHFV7SAE,"The journey turned out to be hellish , you can not dam well sleep , I mean they are comfortable trains , but neither of us got a wink . The train was slow and ambling , been mostly single track , freight trains kept causing delay , so much so that we were 2 hours late when we arrived in Montreal , missing our connection . No fuss or problems though , we simply got the next train for Toronto .",What might be true if the freight trains did n't cause a delay ?,They would have been two hours late,They would have missed their connection,They would have slept well,None of the above choices .,3,1,[-2.588 -1.285 -3.389 -2.33 ],2,[-23.22708  -19.83499  -11.792196 -23.428993]
277,3NFWQRSHVGS9J2SJKCVAY466P8TGFH##3G5F9DBFOSCF2F7EUZOYQAHHKLIHVA##A3GVXFBYAU9HP##Blog_974786##q1_a1##3U18MJKL1W08QIPVGEI4GIU0TGYCN3,"Spent close to four hours there ( although in my defence , a large part of those four hours were spent feeding Layla . And myself ! ) It 's no wonder Mr Ikea Man is the world 's richest man : noone ever spends under $ 100 there . Everything is "" just $ 6.95 "" or "" What ?",Why did I spend so much time and so much money in Ikea ?,"I bought a lot of food and extra , unneeded things in Ikea .",None of the above choices .,I spent too much money on food and large purchases .,"I bought a lot of food and extra , much needed things in Ikea .",0,2,[-0.98   -1.727   2.697   0.4302],3,[-22.781086 -25.388966 -26.49742  -19.637522]
278,36FFXPMST9M2VM1GJNKIE03C2W7HO8##3TPWUS5F8AZM57XWEK3T9NF675GCWL##A2KYOM2ZGYDJGT##Blog_638832##q1_a1##3M93N4X8HM1SE9N6Y2GC2GH05HZJSH,"But it totally was n't awkward , it was so much fun and I re - realized how cool Will is . Like I learned the origin of the word "" quarantine "" , weird things like this do n't seem to come up in conversation with my other friends . Now I ' m in Seattle with my mom and it 's like "" .... "" I ' m not even excited about my Amtrak trip anymore , this sucks . I miss having my own space and hanging out with friends [ or just chilling at home ] , and not having to depend on someone else 's schedule and transportation . But alas , I could n't stay in my moldy place much longer .","What 's a possible reason the writer learned the origin of the word "" quarantine "" ?",Because the writer is in Seattle .,Because the situation was n't awkward .,Because the writer realized how cool Will is .,Because Will taught her .,3,1,[-6.363 -1.525 -4.625 -2.44 ],1,[-30.800034 -23.819086 -29.776848 -27.44592 ]
281,37MQ8Z1JQEUAAA206PQ9TNVCR77Y25##3SPJ0334221D2QY23D23HODH6PZYJC##AO33H4GL9KZX9##Blog_266803##q1_a1##30EV7DWJTX9DM0K8DPECBY0W0L0Y67,"I was out for a cigarette about twenty minutes ago and two cockatoo 's came and flew onto the patio roof ! Sydeny went balistic in a happy way ( he was going "" HELLO ! HELLOOOOO ! ! ! )",Why might Sydeny be so happy about the cockatoos ?,Because it 's rare to see cockatoos flying freely because they 're not kept as pets .,Because it 's common to see cockatoos flying freely because they 're kept as pets .,Because it 's common to see cockatoos flying in the wild because they 're kept as pets .,Because it 's rare to see cockatoos flying freely because they 're kept as pets .,3,2,[4.64 6.33 7.63 4.99],0,[-15.265112 -23.019705 -21.627394 -17.531038]
283,3WGZLY9VCHKIYE9YQACWQTYEV2S8DB##3ZGVPD4G6UF7LJ4CBTIQX19SCYFZTM##AO33H4GL9KZX9##Blog_898103##q1_a1##3QHITW7OYQN5005PCSEUEHZGX66QA5,"It 's a decent hotel and was recently remodeled . I am there with both of my parents and we ' ve had a busy day of traveling , so we had a simple dinner and went back to our room . It 's nine o'clock and the phone rings . My dad looks up and says , "" That 's weird .",Why might my dad find a ringing phone weird ?,Because my dad might have been expecting a call from someone .,Because my dad might not have been expecting a visit from anyone .,None of the above choices .,Because my dad might have been expecting a visit from someone .,2,3,[ 2.965  1.93  -1.745  3.033],0,[-17.584978 -18.46399  -24.688862 -20.546602]
290,37YYO3NWHDOA5PTX7QXQ89CF0ENCCD##3KMS4QQVK3O2DJNPG8ARTI6EFJ5FKN##A2LTOS0AZ3B28A##Blog_770460##q1_a2##3087LXLJ6OUC8YHY6A67DCJPHBM0FH,We celebrated my 25th birthday and my dad 's 20th death anniversary yesterday . It was yes 20 years ago when our whole lives changed - from daily lifestyle to the schools we had to attend . So called friends of our family have come and gone - others really stayed with us . And now that were in the first year on hoping for comfortable life ahead of us ( but not stress and problem free ) i m all high hopes for the best .,Why are they celebrating ?,They want to praise the schools they went too .,None of the above choices .,They are celebrating that their dad is dead .,They are celebrating a 20 year anniversary .,3,2,[-4.438 -1.876  4.82  -3.766],2,[-29.319778 -26.324165 -19.661774 -25.696125]
291,37YYO3NWHDOA5PTX7QXQ89CF0ENCCD##3KMS4QQVK3O2DJNPG8ARTI6EFJ5FKN##A2LTOS0AZ3B28A##Blog_770460##q1_a1##389A2A304QW55MXOF8G656YMKYU0C6,We celebrated my 25th birthday and my dad 's 20th death anniversary yesterday . It was yes 20 years ago when our whole lives changed - from daily lifestyle to the schools we had to attend . So called friends of our family have come and gone - others really stayed with us . And now that were in the first year on hoping for comfortable life ahead of us ( but not stress and problem free ) i m all high hopes for the best .,Why are they celebrating ?,They are celebrating that their dad is dead .,They want to praise the schools they went too .,They are celebrating his birthday .,None of the above choices .,2,0,[ 4.82  -4.438 -2.137 -1.876],0,[-19.661774 -29.319778 -26.60395  -26.324165]
306,3HUR21WDDW3Q5F44ECN2BBDGW0YYXL##37TRT2X24T6WK74YDI0J1B3PQMNJBQ##A1S1K7134S2VUC##Blog_215616##q1_a1##3HUR21WDDW3Q5F44ECN2BBDGXYSXYB,I thought this would be the hardest of all the Japanese related costume items I could try ( with the exception of tabi . ) Turned out it was n't . I got two pair sewn today and they both look okay for first tries .,Is this person Japanese ?,"No , this person is not from the Japanese culture , they are studying and mimicking the the culture .","This person is preparing for a festival , in Japan , by creating authentic costumes .",This person is Japanese and knows that tabi costumes are the hardest to make .,None of the above choices .,0,1,[ 2.324   7.39   -0.8394 -1.888 ],1,[-19.992495 -17.666626 -24.74474  -25.892914]
